fecha,id_producto,cantidad,precio
2025-01-23,56,1,140
2025-01-23,1184,1,7
2025-01-23,1827,1,65
2025-01-23,1813,1,22
2025-01-23,1507,1,104
2025-01-23,1275,1,73
2025-01-23,1276,1,58
2025-01-23,1573,1,95
2025-01-23,951,1,65
2025-01-23,798,1,32
2025-01-23,974,1,82
2025-01-23,1309,1,70
2025-01-23,277,1,89
2025-01-23,659,1,36
2025-01-23,1398,1,82
2025-01-23,1800,1,43
2025-01-23,1826,1,75
2025-01-23,1397,1,95
2025-01-23,946,1,80
2025-01-23,464,1,220
2025-01-23,721,1,37
2025-01-23,1111,1,30
2025-01-23,460,1,72
2025-01-23,425,1,70
2025-01-23,951,1,65
2025-01-23,1810,1,12
2025-01-23,951,2,65
2025-01-23,947,1,85
2025-01-23,767,1,100
2025-01-23,753,1,67
2025-01-23,1507,1,104
2025-01-23,563,1,110
2025-01-23,1091,1,59
2025-01-23,1260,1,58
2025-01-23,1272,1,150
2025-01-23,1444,1,40
2025-01-23,1282,1,87
2025-01-24,1152,1,137
2025-01-24,614,2,92
2025-01-24,368,2,50
2025-01-24,3146,1,15
2025-01-24,1248,1,5
2025-01-24,1316,1,69
2025-01-24,719,1,15
2025-01-24,348,1,260
2025-01-24,767,1,100
2025-01-24,468,1,220
2025-01-24,217,1,144
2025-01-24,1816,9,3
2025-01-24,1531,1,50
2025-01-24,974,1,82
2025-01-24,948,1,58
2025-01-24,1184,1,7
2025-01-24,1248,1,5
2025-01-24,1798,1,28
2025-01-24,1810,1,12
2025-01-24,295,1,140
2025-01-24,1769,1,45
2025-01-24,1309,1,70
2025-01-24,3126,1,33
2025-01-24,782,1,160
2025-01-24,1248,2,5
2025-01-24,3212,1,50
2025-01-24,1810,1,12
2025-01-24,217,1,144
2025-01-24,1787,1,85
2025-01-24,1800,3,43
2025-01-24,1798,1,28
2025-01-24,718,1,35
2025-01-24,3150,1,126
2025-01-24,1363,1,116
2025-01-24,1810,3,12
2025-01-24,225,1,70
2025-01-24,1097,1,30
2025-01-24,1437,2,65
2025-01-24,1578,1,65
2025-01-24,1800,1,43
2025-01-24,1800,1,43
2025-01-24,1570,1,95
2025-01-24,217,1,144
2025-01-24,128,2,68
2025-01-24,1458,2,95
2025-01-24,1813,1,22
2025-01-24,1799,1,25
2025-01-24,1858,1,35
2025-01-24,965,1,129
2025-01-24,1800,1,43
2025-01-24,1132,5,88
2025-01-24,1398,1,82
2025-01-24,1255,2,70
2025-01-24,1813,1,22
2025-01-24,1037,1,110
2025-01-24,1649,1,10
2025-01-24,390,1,125
2025-01-24,792,1,237
2025-01-24,719,1,15
2025-01-24,390,1,125
2025-01-24,1802,1,40
2025-01-24,1611,1,78
2025-01-24,241,1,45
2025-01-24,1810,1,12
2025-01-24,225,1,70
2025-01-03,1229,1,25
2025-01-03,3116,10,22
2025-01-03,1803,2,48
2025-01-03,1802,8,40
2025-01-03,1799,8,25
2025-01-03,1813,2,22
